Client_Name,full_date,platform_name,metric_name,metric_category,value,inferred_post,inferred_post_flag,year,month,top_content,media_type
Parker Marketing,2025-01-31,Instagram,Top Post URL,Other,0.0,0,1,2025,1,https://www.instagram.com/reel/DFOklY4Sw9b/,VIDEO
The Barbell Saves Project,2025-01-31,Facebook Pages,Likes,Engagement,2.0,1,1,2025,1,https://www.facebook.com/433579974142681/posts/1047320950770002,PHOTO
Calm Nola,2025-01-31,Website,Active Users,Audience,17.0,0,1,2025,1,https://399523532.com/symptom-check-quiz/,
Matelex US,2025-01-31,Facebook Pages,Likes,Engagement,0.0,1,1,2025,1,https://www.facebook.com/113220441726937/posts/543372348723032,PHOTO
APT Foundation,2025-01-31,Instagram,Media Reach,Reach,27.0,0,1,2025,1,https://www.instagram.com/p/DFfn5ezz3eo/,IMAGE
Conscious Business Collaborative,2025-01-31,Instagram,Total Engagement,Engagement,2.0,1,1,2025,1,https://www.instagram.com/p/DFYBdNoTAbA/,IMAGE
NYC TCTTAC,2025-01-31,Website,Top Page URL,Other,0.0,0,1,2025,1,https://399523532.com/symptom-check-quiz/,
STEP Learning Collaborative,2025-01-31,Website,Views,Engagement,66.0,1,1,2025,1,https://399523532.com/symptom-check-quiz/,
STEP Learning Collaborative,2025-01-31,Facebook Pages,Shares,Engagement,0.0,1,1,2025,1,https://www.facebook.com/274708262712843/posts/922062516770275,PHOTO
Conscious Business Collaborative,2025-01-31,Facebook Pages,Top Post Engagement,Other,0.0,0,1,2025,1,https://www.facebook.com/634388143435716/posts/630436042841665,PHOTO
APT Foundation,2025-01-31,Facebook Pages,Page Views,Engagement,3.0,1,1,2025,1,https://www.facebook.com/107409417291777/posts/1199637025501189,PHOTO
STEP Learning Collaborative,2025-01-31,Instagram,Saved,Engagement,0.0,1,1,2025,1,https://www.instagram.com/p/DFfkuXhPsZQ/,IMAGE
Conscious Business Collaborative,2025-01-31,Website,Event Count,Engagement,78.0,1,1,2025,1,https://399523532.com/symptom-check-quiz/,
The Barbell Saves Project,2025-01-31,Instagram,Views,Engagement,564.0,1,1,2025,1,https://www.instagram.com/p/DFWPEiryCOZ/,IMAGE
APT Foundation,2025-01-31,Website,New Users,Audience,88.0,0,1,2025,1,https://399523532.com/symptom-check-quiz/,
Parker Marketing,2025-01-31,Website,Engaged Sessions,Engagement,9.0,1,1,2025,1,https://399523532.com/symptom-check-quiz/,
Red Rock,2025-01-29,Instagram,Saved,Engagement,0.0,1,1,2025,1,https://www.instagram.com/p/DFQI7DXymqC/,IMAGE
